hora;producto;year;mes;startdatecad;enddatecad;nfactura;dias;Etotal;Ekwh;kwh;Epot;PotEd;potElec
2022-08-24 07:37:42.206031;luz;2021;7;2021-05-31;2021-07-05;PM3108N0300729;35;51.18;0.14709459;148.0;4.09391304;0.116968944;5.75
2022-08-24 07:37:42.207000;luz;2021;7;2021-07-05;2021-07-14;PM3101N1216895;9;7.45;0.14722222;18.0;1.0525;0.11694444444444445;4.0
2022-08-24 07:37:42.208002;gas;2021;7;2021-05-14;2021-07-12;PMD101N0755802;59;40.72;0.06023697;297.0;17.45;0.2957627118644068;0
2022-08-24 07:37:42.209001;luz;2021;8;2021-07-14;2021-08-11;PM3101N1458836;28;40.3;0.14711538;156.0;3.275;0.11696428571428572;4.0
2022-08-24 07:37:42.211014;luz;2021;9;2021-08-11;2021-09-12;PM3101N1644668;32;66.51;0.14711599;319.0;3.7424999999999997;0.11695312499999999;4.0
2022-08-24 07:37:42.212003;gas;2021;9;2021-07-12;2021-09-21;PMD101N1060754;71;46.06;0.06025974;308.0;20.99;0.2956338028169014;0
2022-08-24 07:37:42.213003;luz;2021;10;2021-09-12;2021-10-12;PM3101N1925891;30;33.46;0.14733333;149.0;2.965;0.09883333333333333;4.0
2022-08-24 07:37:42.214003;luz;2021;11;2021-10-12;2021-11-11;PM3101N2069299;30;34.02;0.11124224;161.0;2.9025000000000003;0.09675000000000002;4.0
2022-08-24 07:37:42.215003;gas;2021;9;2021-09-21;2021-09-30;PMD108N0246059;9;20.1;0.0602449;245.0;2.66;0.29555555555555557;0
2022-08-24 07:37:42.216004;gas;2021;11;2021-09-30;2021-11-18;PMD101N1345081;49;113.61;0.04989239;1301.0;33.88;0.6914285714285715;0
2022-08-24 07:37:42.217004;luz;2021;12;2021-11-11;2021-12-07;PM3101N2303673;26;33.31;0.11127168;173.0;2.5175;0.09682692307692307;4.0
2022-08-24 07:37:42.218004;luz;2022;1;2021-12-07;2022-01-12;PM3201N0085524;36;49.64;0.13530864;243.0;3.63;0.10083333333333333;4.0
2022-08-24 07:37:42.219004;gas;2022;1;2021-11-18;2022-01-21;PMD201N0177209;64;382.51;0.05682836;5707.0;44.739999999999995;0.6990624999999999;0
2022-08-24 07:37:42.220004;luz;2022;2;2022-01-12;2022-02-16;PM3201N0412574;35;54.46;0.13531646;237.0;3.8175;0.10907142857142857;4.0
2022-08-24 07:37:42.222005;luz;2022;3;2022-02-16;2022-03-13;PM3201N0530663;25;36.61;0.13532468;154.0;2.7275;0.1091;4.0
2022-08-24 07:37:42.223005;gas;2022;3;2022-01-21;2022-03-17;PMD201N0422100;55;340.32;0.05682511;4397.0;46.69;0.8489090909090908;0
2022-08-24 07:37:42.224005;luz;2022;4;2022-03-13;2022-04-12;PM3201N0791885;30;41.71;0.13535354;175.0;3.205;0.10683333333333334;4.0
2022-08-24 07:37:42.225005;luz;2022;5;2022-04-12;2022-05-12;PM3201N0992008;30;37.92;0.12597484;159.0;3.115;0.10383333333333335;4.0
2022-08-24 07:37:42.226005;gas;2022;5;2022-03-17;2022-05-17;PMD201N0746083;61;216.97;0.05682343;2424.0;51.78;0.8488524590163935;0
2022-08-24 07:37:42.227005;luz;2022;6;2022-05-12;2022-06-12;PM3201N1261632;31;36.39;0.12596273;161.0;3.2199999999999998;0.10387096774193548;4.0
2022-08-24 07:37:42.228006;gas;2022;7;2022-05-17;2022-07-20;PMD201N1072207;64;77.92;0.05681102;254.0;54.33;0.84890625;0
2022-08-24 07:37:42.229007;luz;2022;8;2022-07-12;2022-08-11;PM3201N1706439;30;67.48;0.20089286;169.0;3.1175000000000006;0.10391666666666668;4.0
2022-12-05 19:50:02.202404;luz;2023;5;2023-03-30;2023-05-01;PM3201N1706439;32;39.14;0.146512;142;16.23;0.087756;5.5
2022-12-05 19:50:02.202404;gas;2023;4;2023-02-03;2023-04-10;PMD201N1072207;66;87.34;0.06753;921;21.13;0.31733;0
